horizon_slice,dgp,dgp_label,n,method,cover60,cover80,width60,width80
h1,D1,AR(1),24,AutoARIMA,0.54,0.775,1.9226478449967712,2.9276499421079505
h1,D1,AR(1),24,AutoETS,0.605,0.8,2.1177590803118655,3.224749277413323
h1,D1,AR(1),24,Combination,0.585,0.79,1.9918944810446007,3.0656068499691798
h1,D1,AR(1),24,SeasonalNaive,0.59,0.815,2.092345264537437,3.1860512098112057
h1,D1,AR(1),24,Theta,0.57,0.77,1.9352765178251667,3.0444213303862675
h1,D1,AR(1),24,TimesFM3,0.605,0.805,2.0584775219048264,3.271572549650924
h1,D1,AR(1),48,AutoARIMA,0.55,0.72,1.9389496951757619,2.952473058237599
h1,D1,AR(1),48,AutoETS,0.595,0.755,2.0940190139298465,3.1885998576691823
h1,D1,AR(1),48,Combination,0.565,0.735,2.0129381949237564,3.0988359549029987
h1,D1,AR(1),48,SeasonalNaive,0.61,0.78,2.0983828893265937,3.1952448080618905
h1,D1,AR(1),48,Theta,0.57,0.735,2.005845875665662,3.155434948802216
h1,D1,AR(1),48,TimesFM3,0.58,0.775,2.033488213028788,3.177634535913613
h1,D1,AR(1),96,AutoARIMA,0.585,0.835,1.9398255447794535,2.9538067299488358
h1,D1,AR(1),96,AutoETS,0.67,0.85,2.0899667732906506,3.182429439043835
h1,D1,AR(1),96,Combination,0.64,0.84,2.017062392057372,3.1053773399802362
h1,D1,AR(1),96,SeasonalNaive,0.615,0.86,2.10345673063287,3.2029708361253437
h1,D1,AR(1),96,Theta,0.62,0.84,2.021394858102012,3.179895850948037
h1,D1,AR(1),96,TimesFM3,0.605,0.87,2.045410923314017,3.1755745409635874
h1,D1,AR(1),200,AutoARIMA,0.62,0.795,1.9512402589417552,2.971188117467827
h1,D1,AR(1),200,AutoETS,0.595,0.795,2.0867909515719743,3.1775935590385482
h1,D1,AR(1),200,Combination,0.605,0.81,2.0242727313524966,3.1165816755762275
h1,D1,AR(1),200,SeasonalNaive,0.57,0.805,2.111613665111343,3.215391544793249
h1,D1,AR(1),200,Theta,0.565,0.815,2.03478698354376,3.2009633502223096
h1,D1,AR(1),200,TimesFM3,0.605,0.79,1.958112030331308,3.032908196891952
h1,D2,"ARMA(1,1)",24,AutoARIMA,0.51,0.725,1.8552083772736965,2.824958669606314
h1,D2,"ARMA(1,1)",24,AutoETS,0.6,0.755,2.2211229103160837,3.382143212925425
h1,D2,"ARMA(1,1)",24,Combination,0.57,0.75,2.040799750520789,3.141937103833709
h1,D2,"ARMA(1,1)",24,SeasonalNaive,0.615,0.755,2.0861301870494073,3.17658740119156
h1,D2,"ARMA(1,1)",24,Theta,0.525,0.735,2.046067963972585,3.2187094289693885
h1,D2,"ARMA(1,1)",24,TimesFM3,0.565,0.77,2.0965313248533954,3.3726047409517723
h1,D2,"ARMA(1,1)",48,AutoARIMA,0.505,0.695,1.8823730216816341,2.866322754992638
h1,D2,"ARMA(1,1)",48,AutoETS,0.555,0.76,2.1645610509757667,3.296015467454972
h1,D2,"ARMA(1,1)",48,Combination,0.545,0.75,2.0454557330484855,3.1497554831351904
h1,D2,"ARMA(1,1)",48,SeasonalNaive,0.555,0.74,2.1069707538425932,3.20832170153384
h1,D2,"ARMA(1,1)",48,Theta,0.55,0.75,2.0894331264880566,3.2869282269579596
h1,D2,"ARMA(1,1)",48,TimesFM3,0.52,0.775,1.9866493939210468,3.151104235742799
h1,D2,"ARMA(1,1)",96,AutoARIMA,0.575,0.765,1.8970505801156765,2.888672533300471
h1,D2,"ARMA(1,1)",96,AutoETS,0.58,0.815,2.130423664578909,3.244033864287989
h1,D2,"ARMA(1,1)",96,Combination,0.59,0.815,2.03477546135528,3.133280878678676
h1,D2,"ARMA(1,1)",96,SeasonalNaive,0.585,0.805,2.106041917207508,3.2069073455309915
h1,D2,"ARMA(1,1)",96,Theta,0.59,0.82,2.076852139371253,3.2671362384475695
h1,D2,"ARMA(1,1)",96,TimesFM3,0.58,0.82,2.021494871919016,3.180505828970163
h1,D2,"ARMA(1,1)",200,AutoARIMA,0.61,0.81,1.8821674455272839,2.866009720539684
h1,D2,"ARMA(1,1)",200,AutoETS,0.615,0.82,2.123705655485669,3.2338042328013468
h1,D2,"ARMA(1,1)",200,Combination,0.605,0.85,2.026479926215158,3.1205939662089044
h1,D2,"ARMA(1,1)",200,SeasonalNaive,0.61,0.82,2.106136144118091,3.207050826517399
h1,D2,"ARMA(1,1)",200,Theta,0.58,0.825,2.0735666776325217,3.2619679452856833
h1,D2,"ARMA(1,1)",200,TimesFM3,0.635,0.815,1.9763744558816914,3.0953109099842813
h1,D3,"ARIMA(1,1,1) with drift",24,AutoARIMA,0.54,0.685,1.5591026531722745,2.3740732366450743
h1,D3,"ARIMA(1,1,1) with drift",24,AutoETS,0.6,0.78,2.066474907811901,3.1466579592131194
h1,D3,"ARIMA(1,1,1) with drift",24,Combination,0.59,0.795,1.8432467684372844,2.838735329976363
h1,D3,"ARIMA(1,1,1) with drift",24,SeasonalNaive,0.585,0.815,2.0729364446817162,3.1564970559005716
h1,D3,"ARIMA(1,1,1) with drift",24,Theta,0.545,0.77,1.9041627443276774,2.9954747940708946
h1,D3,"ARIMA(1,1,1) with drift",24,TimesFM3,0.505,0.71,1.5621066072566199,2.5738730591357886
h1,D3,"ARIMA(1,1,1) with drift",48,AutoARIMA,0.565,0.73,1.5381204408847657,2.342123250198687
h1,D3,"ARIMA(1,1,1) with drift",48,AutoETS,0.635,0.805,2.0139585275771723,3.066690336460978
h1,D3,"ARIMA(1,1,1) with drift",48,Combination,0.63,0.83,1.8507849370522935,2.851829068598798
h1,D3,"ARIMA(1,1,1) with drift",48,SeasonalNaive,0.665,0.84,2.0814557630384276,3.169469572921163
h1,D3,"ARIMA(1,1,1) with drift",48,Theta,0.65,0.83,2.0002758426949425,3.146673619136733
h1,D3,"ARIMA(1,1,1) with drift",48,TimesFM3,0.565,0.8,1.69108958964584,2.7526796112968652
h1,D3,"ARIMA(1,1,1) with drift",96,AutoARIMA,0.605,0.795,1.5257408428361172,2.323272616888609
h1,D3,"ARIMA(1,1,1) with drift",96,AutoETS,0.65,0.815,1.9633302855283368,2.9895978151815275
h1,D3,"ARIMA(1,1,1) with drift",96,Combination,0.66,0.83,1.8381987269240145,2.8330878194049958
h1,D3,"ARIMA(1,1,1) with drift",96,SeasonalNaive,0.62,0.8,2.0966407243191743,3.1925919825346427
h1,D3,"ARIMA(1,1,1) with drift",96,Theta,0.555,0.78,2.02552505240759,3.1863930261448505
