dgp,dgp_label,correct_model,n,best_classical,MASE_best_classical,MASE_timesfm,ratio_timesfm_over_best,winner,p_adj_vs_best,significant
D1,AR(1),ARIMA,24,AutoARIMA,1.4846342824151757,1.416603355438663,0.9541766428390424,TimesFM3,0.06527858793021502,False
D1,AR(1),ARIMA,48,AutoARIMA,1.4154541272316152,1.3810071652741593,0.9756636677270296,TimesFM3,0.5627316435421451,False
D1,AR(1),ARIMA,96,AutoARIMA,1.324217261064881,1.307224075179379,0.9871673732210403,TimesFM3,0.9775344589108311,False
D1,AR(1),ARIMA,200,AutoARIMA,1.2659981192442091,1.2540708346937488,0.9905787501820454,TimesFM3,0.8214110616313075,False
D2,"ARMA(1,1)",ARIMA,24,AutoARIMA,1.7075370221015473,1.6747080290460703,0.9807740666055528,TimesFM3,0.878525494867065,False
D2,"ARMA(1,1)",ARIMA,48,AutoARIMA,1.5747211117109368,1.5183062011086725,0.9641746654803088,TimesFM3,0.7702659788286986,False
D2,"ARMA(1,1)",ARIMA,96,AutoARIMA,1.5172167858361734,1.4553137031907566,0.9591995796360105,TimesFM3,0.4397278359018086,False
D2,"ARMA(1,1)",ARIMA,200,AutoARIMA,1.3743395900500621,1.3827306402051198,1.0061055143981932,AutoARIMA,0.030948387226723873,True
D3,"ARIMA(1,1,1) with drift",ARIMA,24,SeasonalNaive,4.4108663631851615,4.6561091057195565,1.0555996764221396,SeasonalNaive,0.3030656244283564,False
D3,"ARIMA(1,1,1) with drift",ARIMA,48,Theta,4.179036163310994,4.273856636266093,1.0226895554978814,Theta,0.38287918472998356,False
D3,"ARIMA(1,1,1) with drift",ARIMA,96,Combination,3.87051943143126,4.022702674864335,1.0393185581752267,Combination,0.2042267091509524,False
D3,"ARIMA(1,1,1) with drift",ARIMA,200,AutoARIMA,4.194937927093399,4.296646554842196,1.024245562036068,AutoARIMA,0.03381804570187083,True
D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,24,SeasonalNaive,1.0288070974778873,1.3213820215190204,1.2843826843325423,SeasonalNaive,3.479995884832761e-24,True
D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,48,AutoARIMA,1.0135275110341289,1.2953411781213933,1.2780523113770463,AutoARIMA,3.416508006507394e-19,True
D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,96,AutoARIMA,0.8861513621016747,1.1237002365442657,1.2680680576726748,AutoARIMA,1.2390009981561705e-21,True
D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,200,AutoARIMA,0.8856949907143575,1.1610597656223272,1.3109024865161245,AutoARIMA,5.09029189646466e-26,True
D5,"ETS(A,A,A)",ETS,24,SeasonalNaive,1.1393896155555445,1.1520714430345458,1.0111303695468716,SeasonalNaive,0.947466047109645,False
D5,"ETS(A,A,A)",ETS,48,AutoARIMA,0.7173328563564548,0.8148540338254746,1.1359496872405352,AutoARIMA,0.000603689743945925,True
D5,"ETS(A,A,A)",ETS,96,Combination,0.7128403657800291,0.7611725257312213,1.067802220905805,Combination,0.00014723655025754696,True
D5,"ETS(A,A,A)",ETS,200,AutoARIMA,0.6255882180457332,0.6892311464503355,1.101732939605889,AutoARIMA,5.442315595985314e-07,True
D6,Local level with structural break,none,24,AutoETS,0.7663012362702298,0.8074391644777767,1.05368375550035,AutoETS,0.8109354119861272,False
D6,Local level with structural break,none,48,AutoETS,0.8690619851349416,0.8246840303697652,0.9489358002947446,TimesFM3,0.013883012928923778,True
D6,Local level with structural break,none,96,AutoETS,0.9054829021075096,0.8651027460485585,0.9554048387164834,TimesFM3,0.029604400664936945,True
D6,Local level with structural break,none,200,AutoETS,0.8248373768040215,0.8439346375349294,1.0231527586745688,AutoETS,0.14276390922105486,False
D7,Logistic growth,none,24,AutoARIMA,1.082947615546971,1.14177664540335,1.0543230614406642,AutoARIMA,0.02015036637585059,True
D7,Logistic growth,none,48,Combination,0.9695026822932168,0.7512974802355034,0.7749307907621452,TimesFM3,1.2093317352987555e-12,True
D7,Logistic growth,none,96,Theta,0.8209454788460127,0.9589868937483438,1.1681493088875687,Theta,3.7213036341214392e-06,True
D7,Logistic growth,none,200,SeasonalNaive,0.9171703153282992,0.9333083464715682,1.017595457325167,SeasonalNaive,0.5723765723665418,False
D8,Intermittent demand,none,24,AutoARIMA,0.9964221321783333,0.7801672837878177,0.7829686420977534,TimesFM3,1.8080726506412024e-26,True
D8,Intermittent demand,none,48,AutoARIMA,0.9622821579284684,0.7075707030641338,0.7353048139096136,TimesFM3,1.5489809030537279e-30,True
D8,Intermittent demand,none,96,Theta,0.9228224513135433,0.6825904370809259,0.7396768859592961,TimesFM3,1.1992967095967603e-30,True
D8,Intermittent demand,none,200,AutoARIMA,0.9394654938618565,0.6937643203180509,0.7384670590360878,TimesFM3,1.6910394703752567e-30,True
D9,"AR(1) with GARCH(1,1) errors",ARIMA (mean only),24,AutoARIMA,1.3720500929510795,1.320846236656584,0.962680767591828,TimesFM3,0.17891294037903843,False
D9,"AR(1) with GARCH(1,1) errors",ARIMA (mean only),48,AutoARIMA,1.2441121911307804,1.2392636902920326,0.9961028427554103,TimesFM3,0.9687849057496147,False
D9,"AR(1) with GARCH(1,1) errors",ARIMA (mean only),96,AutoARIMA,1.0977699979405062,1.103838083747881,1.0055276477028512,AutoARIMA,0.6087530587383472,False
D9,"AR(1) with GARCH(1,1) errors",ARIMA (mean only),200,AutoARIMA,1.18970972196824,1.2004719717540966,1.0090461140117875,AutoARIMA,0.8162201409678227,False
