horizon_slice,dgp,dgp_label,correct_model,n,method,mean_MASE,median_MASE,mean_RMSSE,mean_sMAPE,mean_SPL,n_series,n_missing
h1,D1,AR(1),ARIMA,24,AutoARIMA,1.047757919499656,0.8593756226459441,0.8384943453433001,1.7417969004770102,0.4056626345534193,200,0
h1,D1,AR(1),ARIMA,24,AutoETS,0.9985432557207173,0.8141956973471668,0.8025215272517988,1.66490557805555,0.3884441420130084,200,0
h1,D1,AR(1),ARIMA,24,Combination,0.9772360885341728,0.8136719397524713,0.783447609342208,1.6259724974523218,0.3803774443344075,200,0
h1,D1,AR(1),ARIMA,24,SeasonalNaive,0.9689547344462852,0.7952958065973325,0.7752123185009318,1.6321035618671627,0.38306090041708446,200,0
h1,D1,AR(1),ARIMA,24,Theta,0.9798086902049612,0.8171111305643521,0.7861687700058069,1.6372786016587053,0.3806405949228969,200,0
h1,D1,AR(1),ARIMA,24,TimesFM3,0.957682406460194,0.7769922401949136,0.7692514392400166,1.5987728170392739,0.37209497139639114,200,0
h1,D1,AR(1),ARIMA,48,AutoARIMA,1.043614448924067,0.881030955032581,0.8359013780551459,1.820400737387156,0.40035959435361707,200,0
h1,D1,AR(1),ARIMA,48,AutoETS,1.014319367708776,0.8166813768789563,0.81405153538701,1.7903798243741205,0.39540740067380287,200,0
h1,D1,AR(1),ARIMA,48,Combination,1.008599279880918,0.8414808764914408,0.8091118723695788,1.7739702579240575,0.3913899110660602,200,0
h1,D1,AR(1),ARIMA,48,SeasonalNaive,0.9915362229335333,0.8167647734954739,0.7963031035844417,1.7423403059180191,0.38782206840707056,200,0
h1,D1,AR(1),ARIMA,48,Theta,1.0216249264694282,0.8217548026669297,0.819659543027207,1.8019831121740861,0.4005978948321035,200,0
h1,D1,AR(1),ARIMA,48,TimesFM3,1.0179623882934863,0.8626673354132163,0.8170106219670966,1.7822701445070084,0.38666544449649254,200,0
h1,D1,AR(1),ARIMA,96,AutoARIMA,0.9011257650200961,0.812283799582993,0.7206252567113384,1.55149719216644,0.3436407926443828,200,0
h1,D1,AR(1),ARIMA,96,AutoETS,0.8906943351781783,0.824292511262232,0.7136481501361652,1.5351431530637698,0.3503311659496226,200,0
h1,D1,AR(1),ARIMA,96,Combination,0.8804289627199153,0.7829325427135115,0.7049717240758144,1.5168942209888931,0.34196794187978585,200,0
h1,D1,AR(1),ARIMA,96,SeasonalNaive,0.9164781592858663,0.8407794657705763,0.7343895224543747,1.5844354139048482,0.35251544727872747,200,0
h1,D1,AR(1),ARIMA,96,Theta,0.8950548720758893,0.8274283952628236,0.7171755175216034,1.5427234034906774,0.35117665287980077,200,0
h1,D1,AR(1),ARIMA,96,TimesFM3,0.8976859736591648,0.8117896347650002,0.7187112104893641,1.54693727135563,0.342619276850246,200,0
h1,D1,AR(1),ARIMA,200,AutoARIMA,0.9436631731618781,0.7792492066113118,0.752272908869971,1.6290624520234218,0.36473743147129845,200,0
h1,D1,AR(1),ARIMA,200,AutoETS,0.99073166969556,0.8837831685169147,0.790290861310383,1.7081339159935134,0.37926758444234765,200,0
h1,D1,AR(1),ARIMA,200,Combination,0.9624680708694742,0.7896675896151737,0.7676087203596282,1.6606346491557182,0.37013499978975534,200,0
h1,D1,AR(1),ARIMA,200,SeasonalNaive,1.0244598350914942,0.9168391844592787,0.8168042376567519,1.7665844761533795,0.3892772767503341,200,0
h1,D1,AR(1),ARIMA,200,Theta,0.9896598684670214,0.8925363948639311,0.7894497926920458,1.7062749728329638,0.38193350022988626,200,0
h1,D1,AR(1),ARIMA,200,TimesFM3,0.9526696111397867,0.7576032899736983,0.7595066342321997,1.6460979042829529,0.36774040825948506,200,0
h1,D2,"ARMA(1,1)",ARIMA,24,AutoARIMA,1.0562017798545003,0.9243224788123672,0.8509649679062086,1.8128581422218215,0.40736167352320135,200,0
h1,D2,"ARMA(1,1)",ARIMA,24,AutoETS,1.1493586735636763,0.9273160322137314,0.9286930551248886,1.971625283442146,0.4468449641382486,200,0
h1,D2,"ARMA(1,1)",ARIMA,24,Combination,1.0606616740174288,0.8742995946830977,0.8552368582118803,1.8184315114670537,0.41189674126240894,200,0
h1,D2,"ARMA(1,1)",ARIMA,24,SeasonalNaive,1.0542645334630971,0.8429055111993662,0.8529322583333699,1.825952105152666,0.41246219305770365,200,0
h1,D2,"ARMA(1,1)",ARIMA,24,Theta,1.1444519526983001,0.9326736068669501,0.9241251264248931,1.980744043189704,0.4486316157073093,200,0
h1,D2,"ARMA(1,1)",ARIMA,24,TimesFM3,1.084601788546081,0.910792129963071,0.8742577620938148,1.8573566634892356,0.42455789221733653,200,0
h1,D2,"ARMA(1,1)",ARIMA,48,AutoARIMA,1.0941758400573491,0.9072296040778058,0.8729782947577537,1.9064348832406695,0.42568534085445797,200,0
h1,D2,"ARMA(1,1)",ARIMA,48,AutoETS,1.1446056516306413,0.8946075861337301,0.9118301082095048,1.9922624337288888,0.4385709172442349,200,0
h1,D2,"ARMA(1,1)",ARIMA,48,Combination,1.1039948560923585,0.9283117974397799,0.8796551435288229,1.9188931336278297,0.42489575075562436,200,0
h1,D2,"ARMA(1,1)",ARIMA,48,SeasonalNaive,1.1337366047023985,0.8889685907571887,0.9029185563163913,1.9749867552955735,0.43561567961851444,200,0
h1,D2,"ARMA(1,1)",ARIMA,48,Theta,1.154091034006734,0.9317409466910922,0.9193066812353677,2.0092495574475104,0.4437500420220525,200,0
h1,D2,"ARMA(1,1)",ARIMA,48,TimesFM3,1.0994879828218358,0.9467496518797803,0.8764776474667921,1.9181894935908101,0.4211275642249728,200,0
h1,D2,"ARMA(1,1)",ARIMA,96,AutoARIMA,0.9471218113496779,0.8150692297594764,0.7570869446380817,1.6785110393584726,0.3610260876326671,200,0
h1,D2,"ARMA(1,1)",ARIMA,96,AutoETS,1.0069298083724088,0.892589607901433,0.8050272706542226,1.7827289277839105,0.38653857781038314,200,0
h1,D2,"ARMA(1,1)",ARIMA,96,Combination,0.9646303544675312,0.8662385700293758,0.7709080142293804,1.7068153479351877,0.3687647593549483,200,0
h1,D2,"ARMA(1,1)",ARIMA,96,SeasonalNaive,1.005673865654505,0.8967959079569136,0.8040827852379967,1.7812138516753637,0.38560807074851505,200,0
h1,D2,"ARMA(1,1)",ARIMA,96,Theta,1.0098562788014256,0.9098836042429662,0.8073899692989496,1.788124597641172,0.3879885668422097,200,0
h1,D2,"ARMA(1,1)",ARIMA,96,TimesFM3,0.9571714768338373,0.8469298935382328,0.7655558754436547,1.6953009230796272,0.3672237827976143,200,0
h1,D2,"ARMA(1,1)",ARIMA,200,AutoARIMA,0.8609273229287214,0.7210964209343282,0.6883036996497391,1.5379284136303424,0.32996055402492547,200,0
h1,D2,"ARMA(1,1)",ARIMA,200,AutoETS,0.9511742535702566,0.8463249755064972,0.7601758516126149,1.6956789231208687,0.3684617430147028,200,0
h1,D2,"ARMA(1,1)",ARIMA,200,Combination,0.9021455169696101,0.8110858490645618,0.7211294655135702,1.6091461220545966,0.34715373495090285,200,0
h1,D2,"ARMA(1,1)",ARIMA,200,SeasonalNaive,0.9517301015862506,0.8462705023701099,0.7606219496078994,1.6964359983460944,0.368838794652637,200,0
h1,D2,"ARMA(1,1)",ARIMA,200,Theta,0.9518406859801732,0.8478786093412245,0.7607098891971137,1.6967407853154148,0.3694116970475287,200,0
h1,D2,"ARMA(1,1)",ARIMA,200,TimesFM3,0.8805989234934627,0.7428234565051562,0.7040147887470328,1.5714892869600705,0.33633186910380675,200,0
h1,D3,"ARIMA(1,1,1) with drift",ARIMA,24,AutoARIMA,0.8970004331184781,0.6567773425935224,0.726821090344076,1.9202568728477922,0.359970431699762,200,0
h1,D3,"ARIMA(1,1,1) with drift",ARIMA,24,AutoETS,1.03646535315479,0.8575798321161109,0.8417146889078816,2.182762806486142,0.3976795487660569,200,0
h1,D3,"ARIMA(1,1,1) with drift",ARIMA,24,Combination,0.9319742883761575,0.731432781644928,0.756662584052673,1.959951706111233,0.360317017962126,200,0
h1,D3,"ARIMA(1,1,1) with drift",ARIMA,24,SeasonalNaive,1.0213978400513646,0.8547159856983462,0.8294106805732432,2.15040219360553,0.3894546809897903,200,0
h1,D3,"ARIMA(1,1,1) with drift",ARIMA,24,Theta,1.0327008050275162,0.8594556594681904,0.8384040030266585,2.1780335935864246,0.39838324951740184,200,0
h1,D3,"ARIMA(1,1,1) with drift",ARIMA,24,TimesFM3,0.9256430839733247,0.7745464289487858,0.7516018249193286,1.932789613440555,0.3644902189830054,200,0
h1,D3,"ARIMA(1,1,1) with drift",ARIMA,48,AutoARIMA,0.7930663435737298,0.6696099685655312,0.6414842237938538,1.7976403466086628,0.31160401653262615,200,0
h1,D3,"ARIMA(1,1,1) with drift",ARIMA,48,AutoETS,0.8959065544586211,0.7570988433210053,0.7250118490514051,2.0089607694550806,0.3470643573859695,200,0
h1,D3,"ARIMA(1,1,1) with drift",ARIMA,48,Combination,0.7940935581652675,0.6340847374048771,0.6429232725241951,1.7676151591796856,0.30961443393143173,200,0
