dgp,correct_model,n,opponent,mean_MASE_timesfm,mean_MASE_opponent,median_ratio,p_wilcoxon,timesfm_wins,p_adj,significant
D1,ARIMA,24,MeanCombination,1.416603355438663,1.538197510445052,0.9528753493398435,2.3461776895369757e-05,True,4.2231198411665566e-05,True
D1,ARIMA,24,MedianCombination,1.416603355438663,1.566695555417258,0.9144486396873364,5.984513904528062e-07,True,1.0235343793879628e-06,True
D1,ARIMA,48,MeanCombination,1.381007165274159,1.4782208613663514,0.9342138659471475,0.003966398209436841,True,0.005000584279245509,True
D1,ARIMA,48,MedianCombination,1.381007165274159,1.5593214109461544,0.8959908324019932,8.98756071607955e-06,True,1.3481341074119326e-05,True
D1,ARIMA,96,MeanCombination,1.307224075179379,1.435247885317999,0.9037422234152248,1.0293462170580038e-05,True,1.950340200741481e-05,True
D1,ARIMA,96,MedianCombination,1.307224075179379,1.5618153454515538,0.8516054245682374,1.1766487769334912e-08,True,2.2294397878739834e-08,True
D1,ARIMA,200,MeanCombination,1.2540708346937488,1.4166326691047855,0.9489275158644338,4.747704609080516e-06,True,1.0053962701582269e-05,True
D1,ARIMA,200,MedianCombination,1.2540708346937488,1.572696905634092,0.879710023391898,7.176139642494027e-11,True,1.7222735141985665e-10,True
D2,ARIMA,24,MeanCombination,1.6747080290460703,1.787939012099566,0.9666320512348038,3.840788782898614e-05,True,6.584209342111909e-05,True
D2,ARIMA,24,MedianCombination,1.6747080290460703,1.8585170130361819,0.9213300312947177,6.254932318481995e-07,True,1.0235343793879628e-06,True
D2,ARIMA,48,MeanCombination,1.5183062011086725,1.6876279173986601,0.9705580544617163,7.4055968233603955e-06,True,1.4811193646720793e-05,True
D2,ARIMA,48,MedianCombination,1.5183062011086725,1.8318871823986036,0.9275872304008114,8.449968083623273e-10,True,1.7894050059437518e-09,True
D2,ARIMA,96,MeanCombination,1.4553137031907568,1.6430165012774731,0.9373105000198503,1.948787970124958e-06,True,4.384772932781156e-06,True
D2,ARIMA,96,MedianCombination,1.4553137031907568,1.8048585082198534,0.8637164586977313,1.3363570667431498e-10,True,3.006803400172087e-10,True
D2,ARIMA,200,MeanCombination,1.3827306402051198,1.6541204938819052,0.8662617457622734,4.891200276283119e-13,True,1.6007564540562937e-12,True
D2,ARIMA,200,MedianCombination,1.3827306402051198,1.915402321216576,0.7684130371272201,3.3602367017758284e-18,True,1.5121065157991228e-17,True
D3,ARIMA,24,MeanCombination,4.6561091057195565,4.658644346908002,1.013940245258175,0.873005306622961,False,0.873005306622961,False
D3,ARIMA,24,MedianCombination,4.6561091057195565,4.703383974185326,1.0028041126458431,0.9883177580204183,False,0.9883177580204183,False
D3,ARIMA,48,MeanCombination,4.273856636266093,4.312824512367078,0.9384003278303461,0.4913419661184719,True,0.505380308007571,False
D3,ARIMA,48,MedianCombination,4.273856636266093,4.3294212459661425,0.9818700059654218,0.6998123565866462,True,0.7198069953462647,False
